天門冬,천문동
葶藶子,정력자
蛇退,사퇴
象牙,상아
黃蠟,황납
露蜂房,노봉방
茶葉,차엽
麻子仁,마자인
桑寄生,상기생
鹿角霜,녹각상
紅花子,홍화자
鹿腎,녹신
淫羊藿,음양곽
豨薟,희렴
陽起石,양기석
黃精,황정
夏枯草,하고초
白附子,백부자
蝸牛,와우
瓜蒂,과체
蝟皮,위피
草烏,초오
黑附子,흑부자
雄黃,웅황
丁香皮,정향피
白丑,백축
懷生地,회생지
片芩,편금
當歸頭,당귀두
白芍,백작
樺皮,화피
石蓮肉,석연육
枸杞,구기
敗醬,패장
王不留行,왕불유행
白薟,백렴
益智,익지
蓯蓉,총용
紫檀香,자단향
糯米,나미
黃柏皮,황백피
川連,천연
紅棗,홍조
茱萸,수유
鬼箭羽,귀전우
苦楝皮,고련피
桑皮,상피
天南星,천남성
大川烏,대천오
天雄,천웅
綿繭,면견
香附米,향부미
虎杖根,호장근
寒水石,한수석
枾霜,시상
烏梅肉,오매육
片腦,편뇌
玄明粉,현명분
砂糖,사당
硼砂,붕사
鱉甲,별갑
鼠粘子,서점자
藕汁,우즙
黑丑,흑축
鷄心檳榔,계심빈랑
惡實,오실
黑豆,흑두
龍膽,용담
浮萍,부평
楡白皮,유백피
珍珠母,진주모
枯礬,고반
元胡索,원호색
昆布,곤포
海藻,해조
淡豆豉,담두시
草決明,초결명
龍膽草,용담초
巴戟天,파극천
羚羊角,영양각
生黃芩,생황금
槲木皮,곡목피
椒葉,초엽
橘葉,귤엽
猪蹄,저제
남,남
여,여
決明子,결명자
炮附子,포부자
辛荑花,신이화
雷丸,뇌환
狗脊,구척
甘草梢,감초초
玉米鬚,옥미수
綠礬,녹반
延胡索,연호색
白薑,백강
蠐螬,제조
天台烏藥,천태오약
生薑皮,생강피
茯苓皮,복령피
靑竹茹,청죽여
鷄屎藤,계시등
撫芎,무궁
貛肉,환육
海金沙,해금사
孩兒茶,해아차
白頭蔲仁,백두구인
栝蔞仁,괄루인
胡椒,호초
忍冬,인동
紫莞茸,자완용
白屈菜,백굴채
老鸛草,노관초
蜈蚣,오공
苦葶藶,고정력
磁石,자석
靑箱子,청상자
半夏麯,반하국
苦楝根,고련근
熟艾,숙애
烏賊魚骨,오적어골
乾栗,건율
女貞實,여정실
海松子,해송자
乾生薑,건생강
白螺螄殼,백나사각
瓜蔞子,과루자
萊菔子,래복자
螺螄殼,나사각
麥蘖,맥얼
柏脂,백지
瓜蔞,과루
澤蘭,택난
蓮子,연자
白蜜,백밀
四季海棠,사계해당
漏蘆,누노
地膚子,지부자
魚腥草,어성초
山萸肉,산유육
楮根皮,저근피
皂角仁,조각인
旱蓮草,한연초
生薑汁,생강즙
胡桃肉,호도육
靑鹽,청염
靈脂,영지
白丁香,백정향
蓽澄茄,필징가
酒麴,주국
靑木香,청목향
甘菊花,감국화
蓮蕊,연예
軟石膏,연석고
地黃,지황
瞿麥穗,구맥수
大蒜,대산
苦竹葉,고죽엽
僵蠶,강잠
蜜,밀
紅花苗,홍화묘
阿芙蓉,아부용
紫蘇莖,자소경
五倍子,오배자
家鼠糞,가서분
韭白根,구백근
韭白,구백
鼠糞,서분
通草,통초
麯蘖,국얼
沙苑蒺藜,사원질려
甘枸杞子,감구기자
羊肝,양간
菊花,국화
蟾蜍,섬서
白蕪異,백무이
蚵蚾草,가파초
夜明砂,야명사
大腹子,대복자
猪牙皂角,저아조각
鹽,염
焰硝,염초
瓦松,와송
馬齒莧,마치현
文蛤,문합
赤何首烏,적하수오
側柏,측백
狗寶,구보
鏡面朱砂,경면주사
寒食麵,한식면
霜梅,상매
好醋,호초
菖蒲,창포
密陀僧,밀타승
白花蛇舌草,백화사설초
地龍,지용
馬蟥,마황
紫背浮萍,자배부평
豉,시
茅根,모근
巴豆肉,파두육
斑猫,반묘
蝎梢,갈초
膽礬,담반
蟾酥,섬소
蓬莪朮,봉아출
白花蛇,백화사
羊脛骨,양경골
豆豉,두시
小豆花,소두화
京墨,경묵
兒茶,아차
氷片,빙편
熊膽,웅담
陳粟米,진속미
猪膽汁,저담즙
橄欖,감람
猪脂,저지
百藥煎,백약전
牙硝,아초
鉛白霜,연백상
銅靑,동청
熟乾地黃,숙건지황
飴糖,이당
李根皮,이근피
龜甲,귀갑
黃蘗,황벽
小麥,소맥
甘松香,감송향
葵子,규자
靑竹葉,청죽엽
輕粉,경분
鐵精,철정
史君子肉,사군자육
大麥蘖,대맥얼
安息香,안식향
烏犀角,오서각
白檀香,백단향
蘇合香,소합향
訶黎勒,가여늑
淸油,청유
百草霜,백초상
蠟,납
京三棱,경삼릉
川薑,천강
白蠟,백납
川乾薑,천건강
乾蟾,건섬
使君子,사군자
川楝肉,천련육
麻油,마유
黃香,황향
白滑石,백활석
白頭翁,백두옹
陳麴,진국
穀精草,곡정초
蛇蛻,사태
乾茶,건차
福建茶,복건차
茶,차
蜣螂,강랑
松煙墨,송연묵
馬牙硝,마아초
金箔,금박
柞木枝,작목지
珍珠,진주
血餘炭,혈여탄
鷄子黃,계자황
草果仁,초과인
高良薑,고양강
甘松,감송
降眞香,강진향
左蟠龍,좌반용
野鴿糞,야합분
魚鰾,어표
水銀,수은
人中黃,인중황
佛耳草,불이초
黃松節,황송절
麻仁,마인
瓜蔞根,과루근
茺蔚子,충울자
巴豆霜,파두상
靑桑皮,청상피
血餘,혈여
朴消,박소
腦子,뇌자
細茶,세차
冬瓜仁,동과인
石蓮子,석연자
陳米,진미
蕤仁,유인
樟腦,장뇌
鶴蝨,학슬
蓖麻子,비마자
三七根,삼칠근
白蒼朮,백창출
蓬莪茂,봉아무
丁香葉,정향엽
槐角子,괴각자
八角茴香,팔각회향
常山,상산
巨勝子,거승자
胡粉,호분
蓮花蕊,연화예
澤蘭葉,택난엽
丁皮,정피
烏頭,오두
紫金皮,자금피
花蕊石,화예석
香白芷,향백지
大薊,대계
赤黍米,적서미
明礬,명반
牙皂,아조
紫苑,자원
胡麻,호마
白梅,백매
磁石毛,자석모
赭石,자석
茜草根,천초근
陳艾葉,진애엽
牛肉,우육
鱔魚,선어
靑州棗,청주조
葛粉,갈분
白石脂,백석지
紫石英,자석영
蓮花鬚,연화수
五色龍骨,오색용골
天仙藤,천선등
莪茂,아무
蒜,산
白鹽,백염
蕎麥,교맥
驢蹄肉,려제육
海風藤,해풍등
片子薑黃,편자강황
繭,견
黑牽牛子,흑견우자
椒目,초목
水蛭,수질
草決明子,초결명자
冬瓜藤,동과등
玉竹,옥죽
猪肝,저간
兎肝,토간
椿根白皮,춘근백피
消石,소석
白膠香,백교향
赤小豆,적소두
虎斑游蛇,호반유사
蝎,갈
螺厴草,나염초
橙子皮,등자피
瓜仁,과인
紅豆,홍두
蒔蘿子,시나자
越瓜,월과
躑躅花,척촉화
酥,소
金毛狗脊,금모구척
海帶,해대
海螺,해나
田螺,전나
苦梗,고경
皂角子,조각자
硇砂,뇨사
阿魏,아위
鷄子,계자
鷄,계
鷄肶胵,계비치
綠豆粉,녹두분
鳴蟬,명선
鷄頭,계두
淸酒,청주
麴酵,국효
猪脬,저포
鷄腸,계장
鷄蘇葉,계소엽
鷄蘇,계소
鷄屎,계시
鷄屎白,계시백
釜底煤,부저매
小草,소초
猪胞,저포
蜀漆,촉칠
栝蔞根,괄루근
鯽魚,즉어
大棗肉,대조육
鷄冠,계관
桂花,계화
芽茶,아차
烏鷄卵,오계난
皂莢,조협
卷柏,권백
子芩,자금
樗根皮,저근피
苦楝肉,고련육
苦楝子,고련자
砒霜,비상
木耳,목이
硝石,초석
礬石,반석
風化硝,풍화초
斑蝥,반모
髮灰,발회
亂髮,난발
蚌粉,방분
犀角屑,서각설
刺蝟皮,자위피
烏蛇,오사
蒺藜子,질려자
人糞,인분
明膠,명교
石榴皮,석류피
晩蠶蛾,만잠아
白龍骨,백용골
綠豆,녹두
沒石子,몰석자
鼠,서
牡鼠,모서
紅礬,홍반
雄鼠,웅서
生漆,생칠
薜荔,벽려
烏梢蛇,오초사
戎鹽,융염
金鈴子,금영자
雲母,운모
