天門冬,천문동
熟半夏,숙반하
熟蒼朮,숙창출
蓮花,연화
薔薇花,장미화
蕎麥麵,교맥면
小麥麵,소맥면
櫻桃,앵도
白梅肉,백매육
鉛丹,연단
中桂,중계
薑半夏,강반하
犬肉,견육
扁豆花,편두화
海參,해삼
刺猬皮,자위피
雀腦芎,작뇌궁
桃,도
金汁,금즙
浦公英花,포공영화
赤小豆花,적소두화
軟防風,연방풍
皮消,피소
車脂,차지
羊糞,양분
砒石,비석
蛇蛻皮,사태피
黃牛角䚡,황우각새
敗棕,패종
牛角䚡,우각새
眞蛤粉,진합분
白鴿,백합
猪靨肉,저엽육
血,혈
浮石,부석
鱉,별
獺爪,달조
柳枝葉,유지엽
圓眼肉,원안육
冬靑子,동청자
白鷗,백구
新綿,신면
油髮,유발
赤松皮,적송피
蓮蓬草,연봉초
紅麴,홍국
桂府滑石,계부활석
絡石藤,락석등
石鹹花,석함화
京芥,경개
白膠,백교
桃葉,도엽
壁土,벽토
虎杖,호장
甛葶藶子,첨정력자
鴨血,압혈
鴨子,압자
성인,성인
乾艾葉,건애엽
凝水石,응수석
罌粟,앵속
汞,홍
白乳羊肝,백유양간
原蠶蛾,원잠아
羊乳,양유
羊肺,양폐
黑錫丹,흑석단
羊蹄根,양제근
扁柏,편백
大麥,대맥
猪油,저유
紅蜀葵根,홍촉규근
壁虎,벽호
苦壺盧子,고호노자
黃黍米,황서미
苦瓠子,고호자
乳糖,유당
山羊血,산양혈
藤黃,등황
雀肉,작육
茨菰,자고
䆓墨,연묵
鉛,연
羊脂,양지
礬紅,반홍
白蓮藕,백연우
烏龜,오귀
大麥芽,대맥아
生乾薑,생건강
黑錫灰,흑석회
光明鹽,광명염
膃訥臍,올눌제
理石,이석
藍實,남실
白麥飯石,백맥반석
荀殼菜,순각채
預知子,예지자
酸木瓜乾,산목과건
鷄糞,계분
銀杏,은행
栗,율
麒麟竭,기린갈
猪血,저혈
烏鷄膽,오계담
靑羊膽,청양담
羊膽,양담
靑魚膽,청어담
黃豆,황두
烏蘞莓,오렴매
苦酒,고주
煨薑,외강
豆黃,두황
野菊花,야국화
皂礬,조반
黑礬,흑반
烏鴉翎,오아령
水晶葡萄葉,수정포도엽
䕡茹,려여
甘薯,감서
葦莖,위경
猪蹄甲,저제갑
田螺肉,전라육
猪蹄退,저제퇴
鷄舌香,계설향
蓮蓬殼,연봉각
鵝毛,아모
棗葉,조엽
乾楮實,건저실
南鵬砂,남붕사
槐根白皮,괴근백피
白鴿糞,백합분
粉葛,분갈
臙脂胚,연지배
王瓜根,왕과근
羊髓,양수
蒴藋,삭조
荷梗,하경
西洋蔘,서양삼
西瓜翠衣,서과취의
川烏尖,천오첨
銅,동
竈心黃土,조심황토
黃土,황토
石亭脂,석정지
猪糞,저분
貢蒲黃,공포황
蜣蛝,강한
鈎藤皮,구등피
曼陀羅,만타라
龍牙草,용아초
龍泉粉,용천분
牛角,우각
습용(濕用,습용(습용
藕,우
牛蒡根,우방근
長白苧麻,장백저마
老薑,노강
紫蔘,자삼
桑椹,상심
玉簪花,옥잠화
甛硝,첨초
蕓薹子,운대자
夜合樹皮,야합수피
槿樹皮,근수피
桑黃菇,상황고
原蠶沙,원잠사
瓜瓣仁,과판인
葦葉,위엽
乾菊花,건국화
火杴草,화험초
猫兒毛,묘아모
眞麻油,진마유
淸醬,청장
猪心血,저심혈
京香墨,경향묵
川楝子肉,천련자육
乾枸杞根,건구기근
乾薔薇根,건장미근
生薑母,생강모
苦丁香,고정향
葎草,률초
錫,석
苧麻根,저마근
田螺殼,전라각
猪肉,저육
羯羊膽,갈양담
터진 다음,터진 다음
燒酒,소주
龍眼,용안
小麥奴,소맥노
樑上塵,량상진
竈突墨,조돌묵
狐肚,호두
松根白皮,송근백피
烏鷄子,오계자
蛔蟲,회충
竹筍,죽순
荊穗,형수
蛇骨,사골
鮮黃連,선황련
白乾葛,백건갈
蛤蚧,합개
北沙蔘,북사삼
土鼈,토별
石膏末,석고말
井底泥,정저니
萵苣子,와거자
白棉子,백면자
精猪肉,정저육
金絲黃礬,금사황반
黃躑躅根,황척촉근
白石英,백석영
太一餘糧,태일여량
白桔梗,백길경
蕺,즙
雀卵,작란
昨葉荷草,작엽하초
海狗腎,해구신
糞蛆,분저
水芝,수지
3 개,3 개
野蜂房,야봉방
猪肚,저두
猪,저
樗白皮,저백피
猪膚,저부
白粉,백분
猪乳汁,저유즙
蝨子,슬자
漢椒,한초
龍葵,용규
連翹心,연교심
月經布,월경포
核桃仁,핵도인
赤朮,적출
紫磠砂,자뇨사
生芩,생금
剪刀草,전도초
鷄膽,계담
貝齒,패치
獖猪膽,분저담
古文錢,고문전
千金藤,천금등
大當歸,대당귀
山沈香,산침향
鵝掌金星草,아장금성초
不夾石雄黃,불협석웅황
牛膽汁,우담즙
楮葉,저엽
白錫,백석
鷄冠花,계관화
南藤,남등
龜,귀
赤白何首烏,적백하수오
石龍芮,석용예
龜膠,귀교
鹿膠,녹교
靑蒿子,청호자
人爪甲,인조갑
人指甲,인지갑
鰒魚,복어
水楊梅根,수양매근
蕪菁,무청
檉柳,정유
靑竹皮,청죽피
白牽牛子,백견우자
馬藺根,마린근
枳椇子,지구자
地衣,지의
石榴花,석류화
地丁,지정
蓮蓬,연봉
鐵,철
鐵線草,철선초
大熟地黃,대숙지황
家鴨,가압
蕎麵,교면
椿皮,춘피
推車客,추차객
白楊葉,백양엽
車螯,車오
鱔魚血,선어혈
大靑根,대청근
躑躅,척촉
葫蘆茶,호로차
梅枝,매지
石榴枝,석류지
夜交藤,야교등
石榴根皮,석류근피
眞川烏,진천오
冬靑葉,동청엽
鷄腸草,계장초
馬兜鈴根,마두령근
酒酵子,주효자
萍,평
狗糞,구분
猫糞,묘분
半枝蓮,반지련
小甘草,소감초
蒸餠,증병
胡麻仁,호마인
熱加柴胡,열가시호
桃梟,도효
山茶花,산茶화
生蜜,생밀
小麥麩,소맥부
鷹糞,응분
兎腦,토뇌
兎腦髓,토뇌수
銅末,동말
金線蛙,금선와
豆腐漿,두부장
烏骨鷄脛骨,오골계경골
生豬脂油,생저지유
欖油,람유
山馬豆根,산마두근
蚯蚓屎,구인시
枳核,지핵
鴟頭,치두
眞松蘿,진송라
弓弩弦,궁노현
蚯蚓泥,구인니
馬夜眼,마야안
羊躑躅花,양척촉화
半支蓮,반지련
薑屑,강설
苹果,평과
실자(實者,실자(실자
蓖麻葉,비마엽
黃礬,황반
白鵝,백아
葡萄,포도
黃花地丁,황화지정
水藿香,수곽향
紫杉,자삼
土瓜,토과
鼠內腎,서내신
兎血,토혈
蓖麻子仁,비마자인
螻蛄,루고
큰것),큰것)
緊磁石,긴자석
陳黃米,진황미
綠豆升麻,녹두승마
杏枝,행지
角香,각향
蚌蛤,방합
魚腦石,어뇌석
紅銅,홍동
牛糞,우분
乾蟾頭,건섬두
楓葉,풍엽
鰕,하
毛貫衆,모관중
白辛樹,백신수
心紅,심홍
地漿,지장
藍汁,남즙
金線草,금선초
藍靑,남청
糞淸,분청
蟹,해
冷泉,냉천
李,이
弦子,현자
樟冰,장빙
花乳石,화유석
松墨,송묵
胡荽,호유
虎肉,호육
熱爐甘石,열爐감석
紅鉛,홍연
木澤,목택
蘆花,노화
土貝母,토패모
鹿,녹
土蜂窩,토봉와
苦練皮根,고련피근
樺木皮,화목피
不灰木,불회목
白魚,백어
蝎虎,갈호
老鶴草,노학초
羖羊腎,고양신
茵芋莖葉,인우경엽
苧麻葉,저마엽
鼠尾黃芩,서미황금
昭腦,소뇌
竈中黃土,조중황토
蘭花,난화
好豉,호시
漆,칠
